"typ";"leitidee";"thema";"definition";"beispiel_id";"status"
"Median bestimmen";"Daten und Zufall";"Kenngrößen";"Median einer Datenliste nach dem Sortieren bestimmen, bei gerader Anzahl als Mitte der beiden mittleren Werte.";"2024-OS-B1h";"gültig"
"Minimum und Maximum ablesen";"Daten und Zufall";"Kenngrößen";"Kleinsten und größten Wert einer Datenreihe oder eines Diagramms angeben.";"2022-OS-K4a";"neu"
"Spannweite berechnen";"Daten und Zufall";"Kenngrößen";"Spannweite einer Datenliste als Differenz von Maximum und Minimum bestimmen.";"2026-FOR-K3a";"gültig"
"Veränderung des Mittelwerts begründen";"Daten und Zufall";"Kenngrößen";"Erklären, wie sich Hinzufügen oder Entfernen einzelner Werte auf den Mittelwert auswirkt.";"2025-OS-K6c";"gültig"
"Wahrscheinlichkeit einstufig";"Daten und Zufall";"Wahrscheinlichkeit einstufig";"Laplace-Wahrscheinlichkeit eines Ergebnisses als günstige durch mögliche Fälle angeben.";"2026-FOR-K6a";"gültig"
"Baumdiagramm ergänzen";"Daten und Zufall";"Wahrscheinlichkeit mehrstufig";"Fehlende Wahrscheinlichkeiten in einem Baumdiagramm eintragen (Knotensumme 1, Astwahrscheinlichkeiten aus dem Sachverhalt).";"2026-FOR-K6b";"gültig"
"Wahrscheinlichkeit zweistufig ohne Zurücklegen";"Daten und Zufall";"Wahrscheinlichkeit mehrstufig";"Wahrscheinlichkeit in einem zweistufigen Versuch ohne Zurücklegen berechnen; die zweite Stufe hängt von der ersten ab (verkleinerte Grundmenge).";"2024-OS-K5c";"gültig"
"Wahrscheinlichkeit zweistufig unabhängig";"Daten und Zufall";"Wahrscheinlichkeit mehrstufig";"Wahrscheinlichkeit eines Ergebnisses oder Ereignisses in einem zweistufigen Versuch mit unabhängigen Stufen (zwei Geräte, mit Zurücklegen) mit Pfad- und Summenregel berechnen.";"2025-OS-K3b";"gültig"
"Wahrscheinlichkeit über Gegenereignis berechnen";"Daten und Zufall";"Wahrscheinlichkeit mehrstufig";"Wahrscheinlichkeit eines mit „nicht“ oder „mindestens“ formulierten Ereignisses über 1 − P(Gegenereignis) berechnen.";"2026-FOR-K6c";"gültig"
"Zufallsgerät zu Wahrscheinlichkeit entwerfen";"Daten und Zufall";"Wahrscheinlichkeit mehrstufig";"Ein Zufallsgerät (Scheibe, Urne) so belegen, dass eine vorgegebene Wahrscheinlichkeit entsteht, mit Rechnung als Nachweis.";"2025-OS-K3d";"gültig"
"Ergebnismenge aufzählen";"Daten und Zufall";"Zählen und Kombinatorik";"Alle möglichen Ergebnisse eines mehrstufigen Zufallsversuchs auflisten.";"2025-OS-K3a";"gültig"
"Exponentialfunktion aufstellen";"Gleichungen und Funktionen";"Exponentialfunktionen und Wachstum";"Gleichung N(t) = a · q^t aus Anfangswert und Wachstumsfaktor angeben.";"2025-OS-K7b";"gültig"
"Graph zu Wachstumsprozess zuordnen";"Gleichungen und Funktionen";"Exponentialfunktionen und Wachstum";"Unter Graphen den zu einem linearen oder exponentiellen Sachverhalt passenden auswählen und die anderen ausschließen.";"2026-FOR-K7b";"gültig"
"Wachstumsfaktor aus Tabelle bestimmen";"Gleichungen und Funktionen";"Exponentialfunktionen und Wachstum";"Wachstumsfaktor als Quotient aufeinanderfolgender Tabellenwerte nachweisen.";"2025-OS-K7b";"gültig"
"Wachstumstabelle ergänzen";"Gleichungen und Funktionen";"Exponentialfunktionen und Wachstum";"Fehlende Werte einer Tabelle mit prozentualem Wachstum über den Wachstumsfaktor ergänzen.";"2026-FOR-K7a";"gültig"
"Eigenschaften eines Graphen beurteilen";"Gleichungen und Funktionen";"Funktionen allgemein";"Aussagen zu Monotonie, Achsenschnittpunkten oder Verlauf eines Graphen als wahr oder falsch bewerten.";"2025-OS-K5a";"gültig"
"Funktionswert berechnen";"Gleichungen und Funktionen";"Funktionen allgemein";"Wert einer Funktion für ein gegebenes Argument berechnen, ggf. mit einer Vorgabe vergleichen.";"2025-OS-K7b";"gültig"
"Graph zu Tarif zuordnen";"Gleichungen und Funktionen";"Funktionen allgemein";"Zu einer sprachlich beschriebenen Kostenstruktur (Grundgebühr, Freimenge, Preis je Einheit) den qualitativ passenden Graphen auswählen.";"2023-OS-K3a";"neu"
"Punktprobe durchführen";"Gleichungen und Funktionen";"Funktionen allgemein";"Rechnerisch prüfen, ob ein Punkt auf dem Graphen einer Funktion liegt.";"2026-FOR-K5b";"gültig"
"Wertetabelle als Punkte darstellen";"Gleichungen und Funktionen";"Funktionen allgemein";"Wertepaare einer Tabelle in ein vorgegebenes Koordinatensystem eintragen.";"2025-OS-K7a";"gültig"
"Wertetabelle einer Funktion zuordnen";"Gleichungen und Funktionen";"Funktionen allgemein";"Zu einer Funktionsgleichung die passende Wertetabelle auswählen oder prüfen.";"2026-FOR-B1e";"gültig"
"Endwert linearer Zunahme berechnen";"Gleichungen und Funktionen";"Lineare Funktionen";"Anfangswert plus n-fache konstante Zunahme berechnen (Sparen, Tarif).";"2022-OS-K6a";"neu"
"Gerade aus Gleichung zeichnen";"Gleichungen und Funktionen";"Lineare Funktionen";"Graph einer linearen Funktion aus der Gleichung mit y-Achsenabschnitt und Steigungsdreieck zeichnen.";"2026-FOR-K5a";"gültig"
"Gerade durch zwei Punkte zeichnen";"Gleichungen und Funktionen";"Lineare Funktionen";"Graph einer linearen Funktion aus zwei gegebenen Punkten ins Koordinatensystem zeichnen.";"2025-OS-K5a";"gültig"
"Geradengleichung aus zwei Punkten";"Gleichungen und Funktionen";"Lineare Funktionen";"Steigung und y-Achsenabschnitt aus zwei Punkten bestimmen und f(x) = mx + n angeben.";"2025-OS-K5a";"gültig"
"Graph einer linearen Funktion erkennen";"Gleichungen und Funktionen";"Lineare Funktionen";"Unter mehreren Graphen den einer linearen Funktion (Gerade) auswählen.";"2025-OS-B1f";"gültig"
"Lineare Kostenfunktion aufstellen";"Gleichungen und Funktionen";"Lineare Funktionen";"Gleichung der Form K(x) = Preis je Einheit · x + Grundgebühr zu einem Tarif angeben.";"2023-OS-K3b";"neu"
"Nullstelle lineare Funktion berechnen";"Gleichungen und Funktionen";"Lineare Funktionen";"Nullstelle einer linearen Funktion aus der Gleichung berechnen.";"2022-OS-K3a";"neu"
"Schnittpunkt am Graphen ablesen";"Gleichungen und Funktionen";"Lineare Funktionen";"Koordinaten eines Schnittpunkts zweier Graphen aus dem Koordinatensystem ablesen.";"2023-OS-K4a";"neu"
"Tarife vergleichen";"Gleichungen und Funktionen";"Lineare Funktionen";"Gesamtkosten zweier Tarife mit Grundgebühr, Freimenge und Preis je Einheit für eine konkrete Nutzung berechnen und den günstigeren wählen.";"2023-OS-K3b";"neu"
"y-Achsenabschnitt ablesen";"Gleichungen und Funktionen";"Lineare Funktionen";"Schnittpunkt einer Geraden mit der y-Achse aus der Gleichung ablesen und markieren.";"2024-OS-B1i";"gültig"
"Lineare Gleichung lösen";"Gleichungen und Funktionen";"Lineare Gleichungen";"Eine lineare Gleichung mit einer Unbekannten lösen.";"2024-OS-B1d";"gültig"
"Gleichung im Sachzusammenhang deuten";"Gleichungen und Funktionen";"Lineare Gleichungssysteme";"Eine gegebene Gleichung als Satz im Sachzusammenhang formulieren.";"2024-OS-K7b";"gültig"
"Lineares Gleichungssystem aufstellen";"Gleichungen und Funktionen";"Lineare Gleichungssysteme";"Zwei lineare Gleichungen mit zwei Unbekannten aus einem Sachverhalt aufstellen.";"2024-OS-K7a";"gültig"
"Lineares Gleichungssystem lösen";"Gleichungen und Funktionen";"Lineare Gleichungssysteme";"Lineares Gleichungssystem mit zwei Unbekannten rechnerisch lösen.";"2024-OS-K7b";"gültig"
"Argument zu Funktionswert berechnen";"Gleichungen und Funktionen";"Quadratische Funktionen";"Zu einem gegebenen y-Wert die x-Werte einer quadratischen Funktion durch Lösen der quadratischen Gleichung bestimmen.";"2023-OS-K4c";"neu"
"Lage zweier Parabeln begründen";"Gleichungen und Funktionen";"Quadratische Funktionen";"Anzahl gemeinsamer Punkte zweier Parabeln aus Scheitel und Öffnung ohne Rechnung begründen.";"2026-FOR-K5d";"gültig"
"Nullstellen quadratische Funktion berechnen";"Gleichungen und Funktionen";"Quadratische Funktionen";"Schnittpunkte einer Parabel mit der x-Achse durch Lösen der quadratischen Gleichung berechnen.";"2025-OS-K5c";"gültig"
"Parabel aus Gleichung skizzieren";"Gleichungen und Funktionen";"Quadratische Funktionen";"Verschobene Normalparabel aus der Gleichung in ein Koordinatensystem skizzieren.";"2024-OS-K3b";"gültig"
"Scheitelpunkt ablesen";"Gleichungen und Funktionen";"Quadratische Funktionen";"Scheitelpunkt einer Parabel am Graphen ablesen oder aus der Gleichung bestimmen.";"2025-OS-K5b";"gültig"
"Scheitelpunktform aufstellen";"Gleichungen und Funktionen";"Quadratische Funktionen";"Quadratische Funktion in der Form p(x) = (x − d)² + e angeben.";"2025-OS-K5b";"gültig"
"Schnittpunkte Gerade und Parabel berechnen";"Gleichungen und Funktionen";"Quadratische Funktionen";"Schnittpunkte durch Gleichsetzen der Funktionsterme und Lösen der quadratischen Gleichung berechnen.";"2024-OS-K3d";"gültig"
"Lösung durch Einsetzen prüfen";"Gleichungen und Funktionen";"Quadratische Gleichungen";"Vorgegebene Werte in eine Gleichung einsetzen und die Lösung auswählen.";"2025-OS-B1h";"gültig"
"Kosten aus Menge und Preis berechnen";"Gleichungen und Funktionen";"Zuordnungen proportional und antiproportional";"Gesamtpreis aus einer berechneten Menge und einem Einheitspreis bestimmen.";"2026-FOR-K2b";"gültig"
"Proportionale Zuordnung Dreisatz";"Gleichungen und Funktionen";"Zuordnungen proportional und antiproportional";"Zu einer proportionalen Zuordnung den fehlenden vierten Wert per Dreisatz bestimmen.";"2023-OS-B1a";"neu"
"Zeit aus Weg und Geschwindigkeit berechnen";"Gleichungen und Funktionen";"Zuordnungen proportional und antiproportional";"Dauer aus Strecke und Geschwindigkeit berechnen und in die verlangte Zeiteinheit umrechnen.";"2024-OS-K6c";"gültig"
"Größen vergleichen";"Größen und Messen";"Einheiten umrechnen";"Zwei Größen mit verschiedenen Einheiten vergleichen und <, = oder > setzen.";"2026-FOR-B1d";"gültig"
"Portionen aus Gesamtmenge berechnen";"Größen und Messen";"Einheiten umrechnen";"Anzahl gleicher Portionen aus Gesamtmenge und Portionsgröße berechnen, nach Umrechnung der Einheiten.";"2022-OS-B1h";"neu"
"Zeiteinheiten umrechnen";"Größen und Messen";"Einheiten umrechnen";"Zeitangaben zwischen h, min und s umrechnen, auch aus Dezimalstunden.";"2025-OS-B1b";"gültig"
"Flächenformel Dreieck angeben";"Größen und Messen";"Flächeninhalt und Umfang";"Zu einem beschrifteten Dreieck die Gleichung für den Flächeninhalt als Term angeben.";"2022-OS-B1e";"neu"
"Flächeninhalt Drachenviereck berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Flächeninhalt eines Drachenvierecks oder einer Raute aus den Diagonalen berechnen.";"2025-OS-K2b";"gültig"
"Flächeninhalt Dreieck über Höhe berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Flächeninhalt eines Dreiecks aus Grundseite und Höhe berechnen, wenn Teilstrecken der Grundseite erst über Trigonometrie oder Pythagoras zu bestimmen sind.";"2022-OS-K5e";"neu"
"Flächeninhalt Trapez berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Flächeninhalt eines Trapezes aus den parallelen Seiten und der Höhe berechnen.";"2023-OS-K2b";"neu"
"Kreisfläche berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Flächeninhalt eines Kreises aus dem Radius berechnen.";"2024-OS-K4a";"gültig"
"Kreissektor Anteil berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Anteil eines Kreissektors an der Kreisfläche aus dem Mittelpunktswinkel bestimmen.";"2025-OS-B1e";"gültig"
"Rechteckseite aus Fläche berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Länge oder Breite eines Rechtecks aus Flächeninhalt und der anderen Seite berechnen.";"2023-OS-B1c";"neu"
"Term zu Figur zuordnen";"Größen und Messen";"Flächeninhalt und Umfang";"Zu einer beschrifteten Figur den passenden Term für Flächeninhalt oder Umfang auswählen.";"2025-OS-B1i";"gültig"
"Umfang Rechteck berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Umfang eines Rechtecks aus Länge und Breite berechnen.";"2026-FOR-B1h";"gültig"
"Umfang Trapez berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Umfang eines Trapezes berechnen, dessen Schenkel erst über Trigonometrie oder Pythagoras bestimmt werden müssen.";"2023-OS-K2c";"neu"
"Verschnitt in Prozent berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Aus einem Blech- oder Stoffstreifen die größtmögliche Anzahl gleicher Teile bestimmen und den Abfall als Prozentsatz der Ausgangsfläche berechnen.";"2023-OS-K5c";"neu"
"Pythagoras Gleichung zuordnen";"Größen und Messen";"Satz des Pythagoras";"Zu einem beschrifteten rechtwinkligen Dreieck die richtige Pythagoras-Gleichung auswählen.";"2026-FOR-B1j";"gültig"
"Pythagoras Hypotenuse";"Größen und Messen";"Satz des Pythagoras";"Hypotenuse eines rechtwinkligen Dreiecks aus beiden Katheten berechnen.";"2025-OS-K2a";"gültig"
"Pythagoras Kathete";"Größen und Messen";"Satz des Pythagoras";"Kathete eines rechtwinkligen Dreiecks aus Hypotenuse und anderer Kathete berechnen.";"2026-FOR-K2c";"gültig"
"Satz des Pythagoras formulieren";"Größen und Messen";"Satz des Pythagoras";"Unter mehreren Aussagen die korrekte sprachliche Fassung des Satzes des Pythagoras auswählen.";"2022-OS-B1g";"neu"
"Sinussatz Seite berechnen";"Größen und Messen";"Sinussatz";"Im allgemeinen Dreieck eine Seite mit dem Sinussatz aus einer Seite und zwei Winkeln berechnen.";"2025-OS-K4c";"gültig"
"Seite im rechtwinkligen Dreieck berechnen";"Größen und Messen";"Trigonometrie im rechtwinkligen Dreieck";"Seite aus einer Seite und einem Winkel über sin, cos oder tan berechnen.";"2026-FOR-K4c";"gültig"
"Winkel im rechtwinkligen Dreieck berechnen";"Größen und Messen";"Trigonometrie im rechtwinkligen Dreieck";"Winkel aus zwei Seiten über tan, sin oder cos und die Umkehrfunktion berechnen.";"2025-OS-K4a";"gültig"
"Winkelfunktion Seitenverhältnis angeben";"Größen und Messen";"Trigonometrie im rechtwinkligen Dreieck";"Im rechtwinkligen Dreieck sin, cos oder tan eines Winkels als Verhältnis der beschrifteten Seiten angeben.";"2025-OS-B1g";"gültig"
"Höhe eines Zylinders aus Volumen berechnen";"Größen und Messen";"Volumen und Oberfläche";"Höhe eines Zylinders aus Volumen und Radius durch Umstellen der Volumenformel berechnen.";"2023-OS-K5d";"neu"
"Mantelfläche Kegel berechnen";"Größen und Messen";"Volumen und Oberfläche";"Mantelfläche eines Kegels aus Radius und Mantellinie berechnen.";"2026-FOR-K2b";"gültig"
"Radius eines Zylinders aus Volumen berechnen";"Größen und Messen";"Volumen und Oberfläche";"Radius eines Zylinders aus Volumen und Höhe durch Umstellen der Volumenformel und Wurzelziehen berechnen.";"2022-OS-K2d";"neu"
"Restvolumen berechnen";"Größen und Messen";"Volumen und Oberfläche";"Differenz der Volumen zweier Körper (Verpackung minus Inhalt) berechnen.";"2024-OS-K4c";"gültig"
"Volumen Kegel berechnen";"Größen und Messen";"Volumen und Oberfläche";"Volumen eines Kegels aus Radius und Höhe berechnen.";"2024-OS-K4c";"gültig"
"Volumen Kegel und Zylinder vergleichen";"Größen und Messen";"Volumen und Oberfläche";"Volumenformeln von Körpern mit Variablen vergleichen und eine Aussage dazu prüfen.";"2026-FOR-K2d";"gültig"
"Volumen Würfel berechnen";"Größen und Messen";"Volumen und Oberfläche";"Volumen eines Würfels aus der Kantenlänge berechnen.";"2026-FOR-B1f";"gültig"
"Volumen Zylinder berechnen";"Größen und Messen";"Volumen und Oberfläche";"Volumen eines Zylinders aus Radius und Höhe berechnen.";"2026-FOR-K2a";"gültig"
"Eigenschaft einer Figur zuordnen";"Raum und Form";"Ebene Figuren und Winkel";"Die zutreffende Eigenschaft einer Figurenklasse (Trapez, Raute, …) aus Aussagen auswählen.";"2026-FOR-B1c";"gültig"
"Gleichschenkliges Dreieck erkennen";"Raum und Form";"Ebene Figuren und Winkel";"Aus gleichen Basiswinkeln auf gleiche Schenkel schließen, als Angabe der Seite oder als Begründung.";"2023-OS-B1g";"neu"
"Rechten Winkel begründen";"Raum und Form";"Ebene Figuren und Winkel";"Begründen, dass ein Winkel 90° misst (Winkelsumme, gleichschenklig-rechtwinkliges Dreieck, Thales, Umkehrung des Pythagoras).";"2025-OS-K2c";"gültig"
"Teilstrecke berechnen";"Raum und Form";"Ebene Figuren und Winkel";"Länge einer Strecke aus Gesamt- und Teillängen durch Addieren oder Subtrahieren bestimmen.";"2025-OS-K2a";"gültig"
"Winkel im Parallelogramm berechnen";"Raum und Form";"Ebene Figuren und Winkel";"Fehlenden Winkel im Parallelogramm über Neben- oder Gegenwinkel bestimmen.";"2026-FOR-B1i";"gültig"
"Winkel im Trapez berechnen";"Raum und Form";"Ebene Figuren und Winkel";"Fehlenden Winkel im Trapez über die Nebenwinkel an den parallelen Seiten bestimmen.";"2023-OS-K2a";"neu"
"Winkelsumme im Dreieck anwenden";"Raum und Form";"Ebene Figuren und Winkel";"Dritten Winkel eines Dreiecks aus der Winkelsumme 180° angeben.";"2023-OS-B1g";"neu"
"Körper in Schrägbild skizzieren";"Raum und Form";"Körper, Netze, Schrägbilder";"Einen Körper in ein vorgegebenes Schrägbild (z. B. in einen Quader) einzeichnen.";"2024-OS-K4b";"gültig"
"Mantelfläche Zylinder als Netz skizzieren";"Raum und Form";"Körper, Netze, Schrägbilder";"Mantelfläche eines Zylinders als Rechteck skizzieren und mit Umfang und Höhe bemaßen.";"2023-OS-K5a";"neu"
"Netz eines Zylinders erkennen";"Raum und Form";"Körper, Netze, Schrägbilder";"Unter mehreren Skizzen das korrekte Netz eines Zylinders (mit oder ohne Deckel) auswählen.";"2022-OS-K2a";"neu"
"Verpackungsmaße aus Körpermaßen bestimmen";"Raum und Form";"Körper, Netze, Schrägbilder";"Kleinste Quaderverpackung aus Durchmesser und Höhe eines Körpers auswählen und begründen.";"2024-OS-K4b";"gültig"
"Symmetrieachsen bestimmen";"Raum und Form";"Symmetrie und Abbildungen";"Anzahl oder Lage der Symmetrieachsen einer Figur angeben.";"2025-OS-K2a";"gültig"
"Bruchteil einer Fläche bestimmen";"Zahlen und Operationen";"Brüche und Dezimalzahlen";"Bruchteil einer markierten Teilfläche an einer Figur angeben, unter mehreren Figuren die mit einem vorgegebenen Anteil auswählen oder einen Bruchteil einer Figur durch Zerlegen markieren; die Leistung steht in format.";"2024-OS-B1b";"gültig"
"Zahlen in verschiedenen Darstellungen vergleichen";"Zahlen und Operationen";"Brüche und Dezimalzahlen";"Zahlen in Dezimal-, Prozent-, Bruch- oder Potenzschreibweise in dieselbe Form bringen und ordnen.";"2023-OS-B1f";"neu"
"Exponent einer Potenz bestimmen";"Zahlen und Operationen";"Potenzen und Wurzeln";"Exponenten x aus einer Gleichung der Form a^x = b durch Probieren oder Zerlegen bestimmen.";"2024-OS-B1g";"gültig"
"Anteilsaussage prüfen und korrigieren";"Zahlen und Operationen";"Prozentrechnung";"Aussagen über Anteile (jeder zweite, ein Drittel) mit Tabellenwerten prüfen, die falsche ankreuzen und korrekt umformulieren.";"2023-OS-K6b";"neu"
"Bruch in Prozent umwandeln";"Zahlen und Operationen";"Prozentrechnung";"Einen Anteil (jeder fünfte, ein Viertel) als Prozentsatz angeben.";"2022-OS-B1f";"neu"
"Grundwert berechnen";"Zahlen und Operationen";"Prozentrechnung";"Aus Prozentwert und Prozentsatz den Grundwert bestimmen.";"2025-OS-B1a";"gültig"
"Prozentsatz berechnen";"Zahlen und Operationen";"Prozentrechnung";"Aus Teil und Ganzem den Anteil in Prozent bestimmen.";"2025-OS-B1e";"gültig"
"Prozentuale Veränderung berechnen";"Zahlen und Operationen";"Prozentrechnung";"Zu- oder Abnahme zwischen zwei Werten in Prozent des Ausgangswerts berechnen.";"2026-FOR-K3c";"gültig"
"Prozentwert berechnen";"Zahlen und Operationen";"Prozentrechnung";"Aus Grundwert und Prozentsatz den Prozentwert bestimmen.";"2026-FOR-B1a";"gültig"
"Steigung in Prozent berechnen";"Zahlen und Operationen";"Prozentrechnung";"Aus Höhe und waagerechter Länge die Steigung in Prozent berechnen.";"2025-OS-K4b";"gültig"
"Steigung in Prozent deuten";"Zahlen und Operationen";"Prozentrechnung";"Eine Steigungsangabe in Prozent als Verhältnis Höhe zu waagerechter Strecke lesen und in Längen übersetzen.";"2025-OS-K4b";"gültig"
"Wert nach prozentualer Erhöhung berechnen";"Zahlen und Operationen";"Prozentrechnung";"Neuen Wert nach Erhöhung oder Senkung um einen Prozentsatz berechnen (Wachstumsfaktor).";"2024-OS-B1e";"gültig"
"Termwert berechnen";"Zahlen und Operationen";"Rationale Zahlen rechnen";"Wert eines Terms für einen gegebenen Variablenwert berechnen, auch mit negativen Zahlen.";"2026-FOR-B1g";"gültig"
"Term zu Sachtext zuordnen";"Zahlen und Operationen";"Terme umformen";"Zu einer sprachlichen Beschreibung (Differenz, Doppeltes, verdreifachen) den passenden Term auswählen.";"2023-OS-B1h";"neu"
"Zehnerpotenz Exponent bestimmen";"Zahlen und Operationen";"Zehnerpotenzen und Näherungswerte";"Eine Zahl in der Form a · 10^n schreiben oder den fehlenden Exponenten angeben.";"2025-OS-B1d";"gültig"
"Uhrzeit aus Startzeit und Dauer berechnen";"Größen und Messen";"Einheiten umrechnen";"Aus einer Uhrzeit und einer Dauer in Stunden und Minuten die End- oder Startzeit bestimmen, mit Übertrag bei 60 Minuten.";"2021-OS-B1a";"neu"
"Volumenänderung bei doppeltem Radius begründen";"Größen und Messen";"Volumen und Oberfläche";"Begründen, wie sich das Volumen eines Zylinders (Kegels) ändert, wenn der Radius vervielfacht wird; quadratischer Einfluss von r in der Formel.";"2021-OS-K4b";"neu"
"Draufsicht maßstabsgerecht zeichnen";"Größen und Messen";"Maßstab";"Einen Sachverhalt (Körper auf Fläche) als maßstabsgerechte Draufsicht zeichnen, passenden Maßstab wählen und angeben, Zeichnung beschriften.";"2021-OS-K4c";"neu"
"Fehlenden Prozentanteil ergänzen";"Zahlen und Operationen";"Prozentrechnung";"In einer Anteilstabelle den fehlenden Prozentsatz als Rest zu 100 % berechnen.";"2021-OS-K5b";"neu"
"Achseneinteilung wählen";"Gleichungen und Funktionen";"Funktionen allgemein";"Für ein Kästchenraster ohne Skala eine Achseneinteilung wählen, mit der alle Werte einer Tabelle darstellbar sind, und sie beschriften.";"2021-OS-K6b";"neu"
"Gleichung zu Tarif zuordnen";"Gleichungen und Funktionen";"Lineare Funktionen";"Zu sprachlich beschriebenen Tarifen (Grundgebühr, Preis je Einheit) die passende lineare Gleichung unter mehreren auswählen, auch mit Einheitenwechsel Cent/Euro.";"2021-OS-K7a";"neu"
"Lösbarkeit quadratischer Gleichung beurteilen";"Gleichungen und Funktionen";"Quadratische Gleichungen";"Aussagen zur Anzahl und zu den Werten der Lösungen einer quadratischen Gleichung in Scheitelpunktform prüfen und eine Gleichung ohne Lösung angeben.";"2021-OS-K7c";"neu"
"Lage eines Punktes zu den Achsen erkennen";"Raum und Form";"Koordinaten und Zeichnen";"Aus den Koordinaten erkennen, ob ein Punkt auf der x-Achse (y = 0), der y-Achse (x = 0) oder im Ursprung liegt.";"2020-OS-B1b";"neu"
"Quadratseite aus Fläche berechnen";"Größen und Messen";"Flächeninhalt und Umfang";"Seitenlänge eines Quadrats als Wurzel aus dem Flächeninhalt bestimmen.";"2020-OS-B1d";"neu"
"Mitte zweier Zahlen bestimmen";"Zahlen und Operationen";"Brüche und Dezimalzahlen";"Die Zahl genau in der Mitte zweier Dezimalzahlen (auch negativer) angeben, als Mittelwert oder am Zahlenstrahl.";"2020-OS-B1f";"neu"
"Winkel an geschnittenen Parallelen bestimmen";"Raum und Form";"Ebene Figuren und Winkel";"Winkel an zwei von einer Geraden geschnittenen Parallelen über Stufen-, Wechsel-, Scheitel- oder Nebenwinkel angeben.";"2020-OS-B1g";"neu"
"Dreiecksungleichung anwenden";"Raum und Form";"Ebene Figuren und Winkel";"Entscheiden, in welchem Verhältnis die Summe zweier Dreiecksseiten zur dritten steht (b + c > a).";"2020-OS-B1i";"neu"
"Trigonometrische Gleichung nach Seite umstellen";"Größen und Messen";"Trigonometrie im rechtwinkligen Dreieck";"Eine Gleichung der Form sin α = a/x ohne Figur nach x umstellen und den Wert berechnen.";"2020-OS-B1j";"neu"
"Werte im Diagramm nach Bedingung auswählen";"Daten und Zufall";"Diagramme lesen und beurteilen";"Aus einem Säulen- oder Balkendiagramm alle Kategorien nennen, deren Wert eine Bedingung (größer als, höchstens) erfüllt.";"2020-OS-K2b";"neu"
"Lineare Gleichung aus Sachverhalt aufstellen";"Gleichungen und Funktionen";"Lineare Gleichungen";"Zu einem Sachverhalt mit einer Unbekannten eine lineare Gleichung (auch mit Klammer, z. B. Preis · (Anzahl + x)) aufstellen.";"2020-OS-K2e";"neu"
"Parabel an der y-Achse spiegeln";"Gleichungen und Funktionen";"Quadratische Funktionen";"Spiegelbild einer Parabel in Scheitelpunktform an der y-Achse skizzieren und die Gleichung mit gespiegeltem Scheitel angeben.";"2020-OS-K3d";"neu"
